Node;L2;L3;L4;L5
M00624;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate [PATH:map00624 map01220 map01100 map01120]
M00623;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Phthalate degradation, phthalate => protocatechuate [PATH:map00624 map01220 map01100 map01120]
M00636;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Phthalate degradation, phthalate => protocatechuate [PATH:map00624 map01220 map01100 map01120]
M00878;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA [PATH:map00360 map01100]
M00852;KEGG - Module;Gene set;Pathogenicity; Vibrio cholerae pathogenicity signature, toxin coregulated pilus [PATH:map05110 map05111] [BR:ko02044]
M00850;KEGG - Module;Gene set;Pathogenicity; Vibrio cholerae pathogenicity signature, cholera toxins [PATH:map05110]
M00542;KEGG - Module;Gene set;Pathogenicity; EHEC/EPEC pathogenicity signature, T3SS and effectors [PATH:map05130]
M00363;KEGG - Module;Gene set;Pathogenicity; EHEC pathogenicity signature, Shiga toxin [PATH:map05130 map05131]
M00853;KEGG - Module;Gene set;Pathogenicity; ETEC pathogenicity signature, colonization factors
M00576;KEGG - Module;Gene set;Pathogenicity; ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins
M00856;KEGG - Module;Gene set;Pathogenicity; Salmonella enterica pathogenicity signature, typhoid toxin
M00857;KEGG - Module;Gene set;Pathogenicity; Salmonella enterica pathogenicity signature, Vi antigen
M00575;KEGG - Module;Gene set;Pathogenicity; Pertussis pathogenicity signature, T1SS [PATH:map05133]
M00574;KEGG - Module;Gene set;Pathogenicity; Pertussis pathogenicity signature, pertussis toxin [PATH:map05133]
M00564;KEGG - Module;Gene set;Pathogenicity; Helicobacter pylori pathogenicity signature, cagA pathogenicity island [PATH:map05120]
M00859;KEGG - Module;Gene set;Pathogenicity; Bacillus anthracis pathogenicity signature, anthrax toxin
M00860;KEGG - Module;Gene set;Pathogenicity; Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis
M00851;KEGG - Module;Gene set;Drug resistance; Carbapenem resistance [PATH:map01501]
M00625;KEGG - Module;Gene set;Drug resistance; Methicillin resistance [PATH:map01501]
M00627;KEGG - Module;Gene set;Drug resistance; beta-Lactam resistance, Bla system [PATH:map01501]
M00745;KEGG - Module;Gene set;Drug resistance; Imipenem resistance, repression of porin OprD
M00651;KEGG - Module;Gene set;Drug resistance; Vancomycin resistance, D-Ala-D-Lac type [PATH:map01502 map02020]
M00652;KEGG - Module;Gene set;Drug resistance; Vancomycin resistance, D-Ala-D-Ser type [PATH:map01502 map02020]
M00704;KEGG - Module;Gene set;Drug resistance; Tetracycline resistance, efflux pump Tet38
M00725;KEGG - Module;Gene set;Drug resistance; Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon [PATH:map01503]
M00726;KEGG - Module;Gene set;Drug resistance; Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF [PATH:map01503]
M00730;KEGG - Module;Gene set;Drug resistance; Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter [PATH:map01503]
M00744;KEGG - Module;Gene set;Drug resistance; Cationic antimicrobial peptide (CAMP) resistance, protease PgtE
M00718;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump MexAB-OprM
M00639;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump MexCD-OprJ
M00641;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump MexEF-OprN
M00642;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump MexJK-OprM
M00643;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump MexXY-OprM
M00769;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump MexPQ-OpmE
M00649;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump AdeABC [PATH:map01501]
M00696;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump AcrEF-TolC
M00697;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump MdtEF-TolC
M00698;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump BpeEF-OprC
M00700;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump AbcA
M00702;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump NorB
M00714;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump QacA
M00705;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, efflux pump MepA
M00746;KEGG - Module;Gene set;Drug resistance; Multidrug resistance, repression of porin OmpF
M00660;KEGG - Module;Gene set;Plant pathogenicity; Xanthomonas spp. pathogenicity signature, T3SS and effectors
M00664;KEGG - Module;Gene set;Symbiosis; Nodulation
M00611;KEGG - Module;Module set;Metabolic capacity; Oxygenic photosynthesis in plants and cyanobacteria
M00612;KEGG - Module;Module set;Metabolic capacity; Anoxygenic photosynthesis in purple bacteria
M00613;KEGG - Module;Module set;Metabolic capacity; Anoxygenic photosynthesis in green nonsulfur bacteria
M00614;KEGG - Module;Module set;Metabolic capacity; Anoxygenic photosynthesis in green sulfur bacteria
M00617;KEGG - Module;Module set;Metabolic capacity; Methanogen
M00618;KEGG - Module;Module set;Metabolic capacity; Acetogen
M00615;KEGG - Module;Module set;Metabolic capacity; Nitrate assimilation
M00616;KEGG - Module;Module set;Metabolic capacity; Sulfate-sulfur assimilation
ABCA1, 2, 3, 4, 7, 12, 13 subgroups;KEGG - Transporters;ABC transporters, eukaryotic type;ABCA (ABC1) subfamily;ABCA1, 2, 3, 4, 7, 12, 13 subgroups
ABCA5, 6, 8, 9, 10 subgroups;KEGG - Transporters;ABC transporters, eukaryotic type;ABCA (ABC1) subfamily;ABCA5, 6, 8, 9, 10 subgroups
ABCB2, 3, 8, 9, 10 subgroups;KEGG - Transporters;ABC transporters, eukaryotic type;ABCB (MDR/TAP) subfamily;ABCB2, 3, 8, 9, 10 subgroups
ABCB1, 4, 5 subgroups;KEGG - Transporters;ABC transporters, eukaryotic type;ABCB (MDR/TAP) subfamily;ABCB1, 4, 5 subgroups
ABCB6, 7 subgroups;KEGG - Transporters;ABC transporters, eukaryotic type;ABCB (MDR/TAP) subfamily;ABCB6, 7 subgroups
ABCB11 subgroup;KEGG - Transporters;ABC transporters, eukaryotic type;ABCB (MDR/TAP) subfamily;ABCB11 subgroup
ABCB-BAC subgroup;KEGG - Transporters;ABC transporters, eukaryotic type;ABCB (MDR/TAP) subfamily;ABCB-BAC subgroup
ABCC1, 2, 3, 4, 5, 6, 10, 11, 12, 13 subgroups;KEGG - Transporters;ABC transporters, eukaryotic type;ABCC (CFTR/MRP) subfamily;ABCC1, 2, 3, 4, 5, 6, 10, 11, 12, 13 subgroups
ABCC7 subgroup;KEGG - Transporters;ABC transporters, eukaryotic type;ABCC (CFTR/MRP) subfamily;ABCC7 subgroup
ABCC8, 9 subgroups;KEGG - Transporters;ABC transporters, eukaryotic type;ABCC (CFTR/MRP) subfamily;ABCC8, 9 subgroups
ABCC-BAC subgroup;KEGG - Transporters;ABC transporters, eukaryotic type;ABCC (CFTR/MRP) subfamily;ABCC-BAC subgroup
ABCD1 subgroup;KEGG - Transporters;ABC transporters, eukaryotic type;ABCD (ALD) subfamily;ABCD1 subgroup
ABCD2 subgroup;KEGG - Transporters;ABC transporters, eukaryotic type;ABCD (ALD) subfamily;ABCD2 subgroup
ABCD3 subgroup;KEGG - Transporters;ABC transporters, eukaryotic type;ABCD (ALD) subfamily;ABCD3 subgroup
ABCD4 subgroup;KEGG - Transporters;ABC transporters, eukaryotic type;ABCD (ALD) subfamily;ABCD4 subgroup
Others;KEGG - Transporters;ABC transporters, eukaryotic type;ABCD (ALD) subfamily;Others
ABCG1, 4 subgroups;KEGG - Transporters;ABC transporters, eukaryotic type;ABCG (White) subfamily;ABCG1, 4 subgroups
ABCG2, 3 subgroups;KEGG - Transporters;ABC transporters, eukaryotic type;ABCG (White) subfamily;ABCG2, 3 subgroups
ABCG5, 8 subgroups;KEGG - Transporters;ABC transporters, eukaryotic type;ABCG (White) subfamily;ABCG5, 8 subgroups
Macrolide exporter;KEGG - Transporters;ABC transporters, eukaryotic type;Other subfamilies;Macrolide exporter
Other ABC transporters;KEGG - Transporters;ABC transporters, eukaryotic type;Other subfamilies;Other ABC transporters
Sulfate/thiosulfate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Sulfate/thiosulfate transporter
Molybdate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Molybdate transporter
Molybdate/tungstate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Molybdate/tungstate transporter
Tungstate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Tungstate transporter
Nitrate/nitrite transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Nitrate/nitrite transporter
Bicarbonate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Bicarbonate transporter
NitT/TauT family transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;NitT/TauT family transporter
Taurine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Taurine transporter
Sulfonate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Sulfonate transporter
Phthalate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Phthalate transporter
Iron(III) transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Iron(III) transporter
Thiamine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Thiamine transporter
Spermidine/putrescine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Spermidine/putrescine transporter
Putrescine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Putrescine transporter
Putative spermidine/putrescine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Putative spermidine/putrescine transporter
Mannopine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Mannopine transporter
2-Aminoethylphosphonate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;2-Aminoethylphosphonate transporter
Glycine betaine/proline transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Glycine betaine/proline transporter
Osmoprotectant transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Osmoprotectant transporter
Putative hydroxymethylpyrimidine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Putative hydroxymethylpyrimidine transporter
Putative thiamine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Mineral and organic ion transporters;Putative thiamine transporter
Maltose/maltodextrin transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Maltose/maltodextrin transporter
Arabinogalactan oligomer/maltooligosaccharide transport system;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Arabinogalactan oligomer/maltooligosaccharide transport system
Raffinose/stachyose/melibiose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Raffinose/stachyose/melibiose transporter
alpha-Glucoside transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;alpha-Glucoside transporter
Glucose/arabinose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Glucose/arabinose transporter
Glucose/mannose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Glucose/mannose transporter
Trehalose/maltose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Trehalose/maltose transporter
Trehalose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Trehalose transporter
N-Acetylglucosamine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;N-Acetylglucosamine transporter
Cellobiose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Cellobiose transporter
N,N'-Diacetylchitobiose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;N,N'-Diacetylchitobiose transporter
Putative chitobiose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Putative chitobiose transporter
L-Arabinose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;L-Arabinose transporter
Lactose/L-arabinose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Lactose/L-arabinose transporter
Oligogalacturonide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Oligogalacturonide transporter
alpha-1,4-Digalacturonate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;alpha-1,4-Digalacturonate transporter
Putative aldouronate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Putative aldouronate transporter
Methyl-galactoside transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Methyl-galactoside transporter
D-Xylose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;D-Xylose transporter
Xylobiose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Xylobiose transporter
Sugar transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Sugar transporter
Multiple sugar transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Multiple sugar transporter
D-Allose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;D-Allose transporter
Fructose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Fructose transporter
Rhamnose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Rhamnose transporter
Ribose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Ribose transporter
Galactofuranose transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Galactofuranose transporter
Erythritol transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Erythritol transporter
Putative xylitol transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Putative xylitol transporter
Inositol transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Inositol transporter
Inositol transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Inositol transporter
Inositol-phosphate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Inositol-phosphate transporter
Putative fructooligosaccharide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Putative fructooligosaccharide transporter
Glycerol transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Glycerol transporter
Putative sn-Glycerol 3-phosphate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Putative sn-Glycerol 3-phosphate transporter
Putative sorbitol/mannitol transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Putative sorbitol/mannitol transporter
Arabinosaccharide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Arabinosaccharide transporter
General nucleoside transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;General nucleoside transporter
Riboflavin transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Riboflavin transporter
AI-2 transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;AI-2 transporter
gamma-Hexachlorocyclohexane transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;gamma-Hexachlorocyclohexane transporter
Phospholipid transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Phospholipid transporter
Mce system transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Mce system transporter
Putative multiple sugar transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Putative multiple sugar transporter
Putative simple sugar transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Putative simple sugar transporter
Putative ABC transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Saccharide, polyol, and lipid transporters;Putative ABC transporter
Phosphate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Phosphate transporter
Phosphonate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Phosphonate transporter
Lysine/arginine/ornithine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Lysine/arginine/ornithine transporter
Histidine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Histidine transporter
Glutamine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Glutamine transporter
Arginine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Arginine transporter
Glutamate/aspartate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Glutamate/aspartate transporter
Aspartate/glutamate/glutamine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Aspartate/glutamate/glutamine transporter
Octopine/nopaline transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Octopine/nopaline transporter
General L-amino acid transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;General L-amino acid transporter
Glutamate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Glutamate transporter
Cystine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Cystine transporter
L-Cystine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;L-Cystine transporter
Arginine/ornithine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Arginine/ornithine transporter
Arginine/lysine/histidine/glutamine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Arginine/lysine/histidine/glutamine transporter
Arginine/lysine/histidine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Arginine/lysine/histidine transporter
Hydroxyproline transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Hydroxyproline transporter
Branched-chain amino acid transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Branched-chain amino acid transporter
Neutral amino acid transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Neutral amino acid transporter
D-Methionine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;D-Methionine transporter
Urea transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Urea transporter
Putative lysine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Putative lysine transporter
Putative lysine/arginine/ornithine/histidine/octopine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Putative lysine/arginine/ornithine/histidine/octopine transporter
Putative S-methylcysteine transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Putative S-methylcysteine transporter
Putative polar amino acid transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Phosphate and amino acid transporters;Putative polar amino acid transporter
Oligopeptide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Peptide and nickel transporters;Oligopeptide transporter
Dipeptide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Peptide and nickel transporters;Dipeptide transporter
Dipeptide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Peptide and nickel transporters;Dipeptide transporter
Cationic peptide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Peptide and nickel transporters;Cationic peptide transporter
Nickel transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Peptide and nickel transporters;Nickel transporter
Glutathione transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Peptide and nickel transporters;Glutathione transporter
Peptides/nickel transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Peptide and nickel transporters;Peptides/nickel transporter
Microcin C transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Peptide and nickel transporters;Microcin C transporter
Ferric citrate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Ferric citrate transporter
Ferric enterobactin transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Ferric enterobactin transporter
Ferric hydroxamate transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Ferric hydroxamate transporter
Iron complex transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Iron complex transporter
Vitamin B12 transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Vitamin B12 transporter
Manganese transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Manganese transporter
Manganese transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Manganese transporter
Zinc transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Zinc transporter
Iron/zinc/manganese/copper transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Iron/zinc/manganese/copper transporter
Manganese/iron transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Manganese/iron transporter
Manganese/zinc transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Manganese/zinc transporter
Manganese/zinc/iron transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Manganese/zinc/iron transporter
Manganese/iron transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Manganese/iron transporter
Cobalt transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Cobalt transporter
Nickel transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Nickel transporter
Biotin transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Biotin transporter
Energy-coupling factor transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Energy-coupling factor transporter
Putative zinc/manganese transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Putative zinc/manganese transporter
Putative ABC transporter;KEGG - Transporters;ABC transporters, prokaryotic type;Metallic cation, iron-siderophore and vitamin B12 transporters;Putative ABC transporter
Multidrug/hemolysin transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Multidrug/hemolysin transporter
Capsular polysaccharide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Capsular polysaccharide transporter
Vi polysaccharide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Vi polysaccharide transporter
Lipopolysaccharide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Lipopolysaccharide transporter
Lipopolysaccharide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Lipopolysaccharide transporter
Teichoic acid transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Teichoic acid transporter
Lipooligosaccharide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Lipooligosaccharide transporter
Sodium transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Sodium transporter
Lantibiotic transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Lantibiotic transporter
Lantibiotic transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Lantibiotic transporter
Copper-processing transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Copper-processing transporter
Putative peptide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Putative peptide transporter
Hemin transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Hemin transporter
Oleandomycin transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Oleandomycin transporter
Bacitracin transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Bacitracin transporter
Bacitracin transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Bacitracin transporter
Bacitracin transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Bacitracin transporter
Uncharacterized ABC transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Uncharacterized ABC transporter
Cationic antimicrobial peptide transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Cationic antimicrobial peptide transporter
Fluoroquinolones transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Fluoroquinolones transporter
Lipoprotein-releasing transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Lipoprotein-releasing transporter
Acetoin utilization transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Acetoin utilization transporter
Heme transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Heme transporter
Cell division transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Cell division transporter
Putative ABC transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Putative ABC transporter
ABC-2 type transporter;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;ABC-2 type transporter
Orphan ABC ATPase;KEGG - Transporters;ABC transporters, prokaryotic type;ABC-2 type and other transporters;Orphan ABC ATPase
SLC1: High-affinity glutamate and neutral amino acid transporter;KEGG - Transporters;Solute carrier family (SLC);SLC1: High-affinity glutamate and neutral amino acid transporter;SLC1: High-affinity glutamate and neutral amino acid transporter
SLC2: Facilitative GLUT transporter;KEGG - Transporters;Solute carrier family (SLC);SLC2: Facilitative GLUT transporter;SLC2: Facilitative GLUT transporter
